product_id,name,brand_id,brand_name,seller_id,seller_name,category,primary_category,price,original_price,discount_rate,rating,review_count,sold_count,origin,is_imported,is_authentic,is_official_store,tiki_verified,has_authentic_badge,availability
127204024,"[ Số 1] Uốn lanh, uốn nguội, uốn đa năng thảo dược Enzyme Multi Texture Perm 500ml -  Dành cho tóc thường và yếu tặng móc khóa",415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Thuốc duỗi, uốn",195000,195000,0,5.0,1,2,Hàn Quốc,True,1,False,1,True,1
127203962,"[Số 1] Uốn lanh, uốn nguội, uốn đa năng thảo dược Rich Volume Texture Perm 500ml - Dành cho tóc thường và khỏe tặng móc khóa",415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Thuốc duỗi, uốn",199000,199000,0,0.0,0,0,Hàn Quốc,True,1,False,1,True,1
68404435,Keo xịt và tạo kiểu tóc hương nước hoa Confume Water Essence Soap Fragrance Hàn Quốc 252ml tặng móc khóa,203917.0,Welcos,37079,Thebeauty,Tạo kiểu tóc,Keo xịt tóc,185000,185000,0,0.0,0,5,Hàn Quốc,True,1,False,1,True,1
47048709,Thuốc Uốn Nhân Sâm BOSNIC 100ML,633863.0,BOSNIC,100760,Linh Giang Cosmetic,Tạo kiểu tóc,"Thuốc duỗi, uốn",79200,79200,0,4.6,5,30,Hàn Quốc,True,1,False,1,True,1
41380798,Gel vuôt giữ lọn tóc kiểu mềm Glaze Hàn Quốc 400ml tặn thêm móc khóa,415523.0,confume,37079,Thebeauty,Tạo kiểu tóc,"Gel, sáp vuốt tóc",179000,179000,0,4.3,10,82,,False,1,False,1,True,1
16997448,Thuốc uốn tóc đa năng Mugens Rich Volume Hàn Quốc 150ml (Dành cho tóc khoẻ và tóc thường) Tặng kèm móc khoá,415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Thuốc duỗi, uốn",145000,145000,0,0.0,0,5,,False,1,False,1,True,1
16936622,[Tặng móc khoá] Gôm xịt tóc mềm Confume Argan Treatment Spray dưỡng màu tóc nhuộm Hàn Quốc 300g ,415523.0,confume,37079,Thebeauty,Tạo kiểu tóc,Keo xịt tóc,165000,165000,0,4.5,15,83,,False,1,False,1,True,1
16379760,Gel đặc cứng Mugens Super Hair Gel Hàn Quốc 330ml + Móc khóa,415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Gel, sáp vuốt tóc",145000,145000,0,4.0,2,24,,False,1,False,1,True,1
16378683,[Tặng móc khoá] Thuốc ép thẳng chiết xuất thảo dược Mugens Power Straight Hàn Quốc 2x500ml ,415739.0,Mugens,37079,Thebeauty,Tạo kiểu tóc,"Thuốc duỗi, uốn",345000,345000,0,5.0,1,28,,False,1,False,1,True,1
16378276,"Gel đặc siêu cứng, khô nhanh giữ lọn tóc xoăn Confume Hair Gel Hàn Quốc 400ml",415523.0,confume,37079,Thebeauty,Tạo kiểu tóc,"Gel, sáp vuốt tóc",179000,179000,0,4.0,2,48,Hàn Quốc,True,1,False,1,True,1
