,log_price,rating,discount_rate_norm,log_sold_count,tiki_verified
log_price,1.0,-0.026897742726096983,-0.09434117016688062,-0.32039172810341965,0.0631291782500607
rating,-0.026897742726096983,1.0,0.09116323857070502,0.07961431249963342,-0.08046928382808664
discount_rate_norm,-0.09434117016688062,0.09116323857070502,1.0,0.022278984168353434,-0.2949666118466329
log_sold_count,-0.32039172810341965,0.07961431249963342,0.022278984168353434,1.0,0.136147260103298
tiki_verified,0.0631291782500607,-0.08046928382808664,-0.2949666118466329,0.136147260103298,1.0
