,log_price,rating,review_ratio,discount_rate_norm,log_sold_count,tiki_verified
log_price,1.0,-0.12337287182827966,0.023566886074741257,-0.14040959260280644,-0.2725747903362626,0.04865002261564543
rating,-0.12337287182827966,1.0,0.4977702446193586,-0.014047239714029063,0.7218541684415763,0.22921003134635862
review_ratio,0.023566886074741257,0.4977702446193586,1.0,-0.03175857972467176,0.19855585718508,0.08800213883941904
discount_rate_norm,-0.14040959260280644,-0.014047239714029063,-0.03175857972467176,1.0,0.010852304142402328,-0.24704256279977332
log_sold_count,-0.2725747903362626,0.7218541684415763,0.19855585718508,0.010852304142402328,1.0,0.2708735284284678
tiki_verified,0.04865002261564543,0.22921003134635862,0.08800213883941904,-0.24704256279977332,0.2708735284284678,1.0
