product_id,name_clean,brand_name,product_type,origin_class_corrected,price,rating,sold_count,discount_rate,tiki_verified,cluster,pca_x,pca_y
276245293,Nước Thần Dưỡng Trắng Da Cân Bằng Độ Ẩm Angels Liquid Tone Up Whitening Program Glutathione Treatment Essence,Angel's Liquid,Skincare,Ngoài nước,408000,4.5,9,42.0,0,3,2.05162357100522,-2.5862582404916736
276243363,Siêu Tinh Chất Giảm Thâm Nám Chuyên Biệt Angels Liquid Tranexamic Mela Zero Ampoule,Angel's Liquid,Skincare,Ngoài nước,589000,5.0,22,49.0,0,3,2.6029997819128377,-2.5401917571384347
276032345,"Serum C15 dưỡng sáng mờ thâm, ngăn ngừa lõa hóa Acnes Lab C15 Serum",Acnes,Skincare,Ngoài nước,333000,4.2,70,20.0,0,3,1.7840662709789608,-0.8866418333845756
275969862,Tinh chất nghệ Hưng Yên (serum) C10 Cocoon giúp sáng da và mờ vết thâm,Cocoon,Skincare,Trong nước,271500,5.0,124,15.0,0,3,2.2310172066863747,-0.4368460482302994
275969763,Dung dịch chấm mụn bí đao Cocoon,Cocoon,Skincare,Trong nước,103500,5.0,68,16.0,0,3,2.6147573606932837,-0.35490018478999974
275587669,"Set 3 lọ xịt mọc tóc Minoxidil Bailleul Pháp, 2%",HISTOLAB,Skincare,Ngoài nước,750000,5.0,23,0.0,0,3,0.5740944192630474,-1.3204851739686365
275085351,Dung dịch cải thiện lão hóa Hada Labo Pro-Aging Retinol B3 Lotion,Hada Labo,Skincare,Ngoài nước,240000,5.0,70,20.0,1,0,1.113529716203876,0.7541775853631082
274048515,"Dung dịch dưỡng trắng cao cấp, cải thiện thâm nám, tàn nhang Hada Labo Shirojyun Premium Whitening Lotion",Hada Labo,Skincare,Ngoài nước,286000,5.0,65,20.0,1,0,0.9944316575368912,0.6415636620378126
263108754,Dưỡng Chất Loreal Revitalift Hyaluronic Acid Serum Căng Mịn và Sáng Da,L'ORÉAL,Skincare,Ngoài nước,412000,5.0,27,3.0,1,0,-0.13570091639323925,0.4967826845800808
261968820,Dưỡng chất ngăn lão hóa sớm Intense Enriching Serum,D Program,Skincare,Ngoài nước,780500,5.0,20,19.0,1,2,0.04709780514765729,-0.3495806406573475
253183283,Tinh Chất Vitamin C Cô Đặc Giúp Sáng Da & Mờ Thâm Hiệu Quả Bright Complete Ampoule Serum 1./12x1.,Garnier,Skincare,Ngoài nước,161500,5.0,3,0.0,1,2,-0.3442409523058867,-0.020371771910567976
247287159,Dung dịch dưỡng trắng da tối ưu Hada Labo Perfect White Tranexamic Acid Lotion,Hada Labo,Skincare,Ngoài nước,223000,4.8,170,20.0,1,0,1.3393812969742573,1.2517327455630156
214199420,Nước dưỡng sáng & cấp ẩm cho da Eucerin Boosting Essence,Eucerin,Skincare,Ngoài nước,661500,5.0,35,12.0,0,3,1.2370067043377877,-1.3773955678424847
206687393,"Serum Compliment 2% BHA Salicylic Acid Hyaluronic Acid B5 5% Vitamin C 20% Làm Sạch Da, Giảm Mụn Trắng Da Căng Bóng",COMPLIMENT,Skincare,Ngoài nước,75000,5.0,38,0.0,1,0,0.7866384490266554,1.4765490988898902
138189050,Siêu Tinh Chất Tranexamic Acid Mờ Nám Chuyên Sâu Angels Liquid Mela Ampoule,Angel's Liquid,Skincare,Ngoài nước,520000,5.0,5,48.0,0,3,2.2138774646268344,-3.1495392604659784
131396444,"Serum Men Stay Simplicity cho da mụn giúp làm dịu, khô cồi cho nam Calm Skin Relief Facial Serum",Men Stay Simplicity,Skincare,Trong nước,239000,4.5,17,0.0,1,0,-0.31190244842131326,0.6211213245984508
123582725,Serum Dưỡng Ẩm Phục Hồi Da GoodnDoc Hydra B5 - Serum BoodnDoc,GoodnDoc,Skincare,Ngoài nước,550000,5.0,4,0.0,1,2,-0.9480335032002867,-0.43109702064087074
114028279,Serum dưỡng ẩm và chống lão hóa Senka Deep Moist 3X HA,Senka,Skincare,Ngoài nước,392500,5.0,45,14.0,1,0,0.474234715226706,0.4800650872829133
86589249,"Tinh chất giúp tái tạo da, giảm thâm nám và nếp nhăn trên da, làm đều màu da La Roche Posay Retinol B3 Serum",La Roche-Posay,Skincare,Ngoài nước,980000,5.0,26,0.0,1,2,-0.7400513525483993,0.1864250268662554
59476465,Set Dưỡng Chất Khoáng Cô Đặc Giúp Phục Hồi Và Bảo Vệ Da Vichy Minéral 89 +,VICHY,Skincare,Ngoài nước,745000,4.8,35,3.0,1,2,-0.4712309429418468,0.38699240371245736
278457404,Tinh chất dưỡng da Shiseido Ultimune Power Infusing 4.0 Serum,Shiseido,Skincare,Ngoài nước,2916000,5.0,3,10.0,0,3,-0.3405276353296984,-3.0871954669676818
276135877,Tinh chất DrCeutics Basic B5 Hydration giúp cấp ẩm dành cho da dầu (/) - Hàng chính hãng,DrCeutics,Skincare,Trong nước,149000,5.0,1,21.0,0,3,1.5062657366106462,-2.460303870562545
276032347,"Serum dưỡng ẩm chuyên sâu, làm dịu da Acnes Lab B5 Recovery Serum",Acnes,Skincare,Ngoài nước,349000,4.8,68,20.0,0,3,2.0144185966094503,-0.9669161481793532
275969708,"Tinh chất bí đao 7% Niacinamide giúp giảm mụn, mờ vết thâm Cocoon",Cocoon,Skincare,Trong nước,238700,5.0,16,20.0,0,3,1.875060763895628,-1.537909143477395
275707072,"Tinh chất làm mờ đốm nâu, thâm nám Emmié Duo C + Arbutin 25.5% Serum () - Hàng chính hãng",Emmié By Happy Skin,Skincare,Trong nước,549000,5.0,6,31.0,0,3,1.569640209458062,-2.6422020417058953
275239168,Serum dưỡng da và phục hồi da sau nắng Anessa Night Sun Care Serum,ANESSA,Skincare,Ngoài nước,487500,5.0,21,21.0,0,3,1.6019935781974195,-1.7382532526165024
273302277,"Tinh Chất La Roche-Posay Phục Hồi Độ Ẩm, Săn Chắc Da Hyalu B5",La Roche-Posay,Skincare,Ngoài nước,1150000,5.0,6,0.0,1,2,-1.2484897780506925,-0.5746180378647148
273038617,Serum Hỗ Trợ Căng Bóng Da Kyung Lab HAB5 Plus Hydra Ampoule,Kyung Lab,Skincare,Ngoài nước,350000,5.0,5,0.0,1,2,-0.6428889686137487,-0.14385569430203937
221251459,"Tinh Chất Vitamin C Chuyên Sâu Giúp Trắng Da, Mờ Thâm Mụn Và Nám Bright Complete 30x VTC Booster Serum 30/",Garnier,Skincare,Ngoài nước,33000,5.0,7,6.0,1,0,0.9780215183468008,0.856421803213448
141260860,"SERUM MỤN DETOX ACNES KARMEL -Ngừa Mụn, mờ vết thâm, mờ nám, tái tạo da, dưỡng trắng da ( mẫu mới )",Karmel,Skincare,Trong nước,380000,5.0,18,0.0,1,2,-0.3289789608723409,0.41219904001119156
103511363,Serum Ngừa Nám - Tàn Nhang - Mộc,Love Skin White,Skincare,Trong nước,159000,5.0,4,0.0,1,2,-0.2661526900442385,0.10078256122615574
101753336,Tinh Chất Truyền Trắng Angels Liquid Glutathione + Niacinamide 700 V-Ampoule,Angel's Liquid,Skincare,Ngoài nước,385500,4.7,30,37.0,0,3,2.3287703094118704,-1.8639282011426226
72079092,SERUM D PROGRAM DƯỠNG DA BẢO VỆ CHUYÊN SÂU,D Program,Skincare,Ngoài nước,517000,4.7,14,25.0,1,4,0.2698754656815255,-0.48226139243825183
53868177,Bộ 3 Sản Phẩm Dưỡng Chất (Serum) Khoáng Núi Lửa Cô Đặc Vichy Mineral iúp Da Sáng Mịn Và Căng Mượt,VICHY,Skincare,Ngoài nước,1246000,4.5,30,3.0,1,2,-0.9329249295701549,0.11261176440321334
44810330,Serum chống lão hóa Scentuals Anti-Aging Facial Oil Serum,Scentuals,Skincare,Ngoài nước,1000000,5.0,1,20.0,1,2,-0.7826293129090636,-1.6885598780876436
273954108,Serum làm trắng và thu nhỏ lỗ chân lông Anodin Niacinamide 10 Plus Hàn Quốc,Dabo,Skincare,Ngoài nước,499000,5.0,4,0.0,1,2,-0.8945647926092708,-0.3893904424773196
263108634,Tinh Chất Garnier Light Complete Speed Vitamin C Booster Serum Sáng Da & Mờ Thâm,Garnier,Skincare,Ngoài nước,257000,5.0,24,3.0,1,0,0.08830730704266998,0.6409168665788262
249988681,Serum Mụn Karmel Detox X5,Karmel,Skincare,Ngoài nước,480000,5.0,5,0.0,1,2,-0.8164360044244321,-0.2792255757539228
247287160,Serum dưỡng trắng Hada Labo Perfect White Tranexamic Acid 2% (),Hada Labo,Skincare,Ngoài nước,284000,3.9,91,20.0,1,0,0.6158520510442741,0.8983721912752022
225967296,N15 - Serum tinh chất bí đao Cocoon 15% niacinamide sach mụn Thuần Chay,Cocoon,Skincare,Trong nước,470250,5.0,2,5.0,1,2,-0.8262618788660907,-0.7588005557000823
201763793,Tinh chất Bioverse hỗ trợ giảm mụn B351 Acne Clear up Serum,Bioverse,Skincare,Ngoài nước,225000,5.0,4,0.0,1,2,-0.4569208906005327,-0.04802014562194907
197402623,Set mini Serum dưỡng da Lancome Advanced Geifique + Kem Mắt,Lancome,Skincare,Ngoài nước,509000,5.0,6,3.0,1,2,-0.6837438845089562,-0.30497114892041544
174071724,"Dung dịch dưỡng ẩm Hada Labo Acne Care Calming Lotion dành cho da dầu mụn, da nhạy cảm",Hada Labo,Skincare,Ngoài nước,224000,5.0,171,20.0,1,0,1.427085882308325,1.2376384415625095
123585095,"Serum C GoodnDoc Dưỡng Trắng Sáng Da,Hỗ Trợ Giảm Thâm Nám, Chống Lão Hóa Vitamin C 16.5 Daily Whitening - GoodnDoc Vitamin C",GoodnDoc,Skincare,Ngoài nước,490000,5.0,34,0.0,1,0,-0.2783517293305298,0.6166217773090078
77117310,Tinh Chất Tái Tạo Và Căng Bóng Da Mandelic Glow Zakka Naturals,Zakka Naturals,Skincare,Trong nước,405000,5.0,12,10.0,1,2,-0.09253959966954282,-0.07537910049963044
76440650,Tinh Chất Cấp Ẩm Đa Tầng Super HA Hyaluronic B5 Hydrating Serum Zakka Naturals,Zakka Naturals,Skincare,Trong nước,297000,5.0,60,10.0,1,0,0.559480956176663,0.8505759366771334
76419863,Nước dưỡng Tảo Biển làm mềm mịn & sáng da Zakka Naturals Sea Kelp Daily Essence,Zakka Naturals,Skincare,Trong nước,243000,5.0,41,10.0,1,0,0.5534754338872792,0.7451342451465676
63042665,SERUM NGỪA MỤN THÂM - MỜ SẸO - MOC,Love Skin White,Skincare,Trong nước,270000,4.6,117,0.0,1,0,0.2510371729831715,1.5258295369520338
53498427,Dưỡng chất(Serum) dưỡng da giúp ngăn ngừa 10 dấu hiệu lão hóa & làm săn chắc làn da Vichy Liftactiv Supreme Serum,VICHY,Skincare,Ngoài nước,1693000,3.7,13,3.0,1,2,-1.702399959443106,-0.3658883357705839
22493668,La Roche-Posay Tinh Chất Phục Hồi Giúp Da Săn Chắc Hyalu B5 Serum,La Roche-Posay,Skincare,Ngoài nước,1150000,3.5,24,0.0,1,2,-1.514519293293393,0.19214582363745614
273403107,Dưỡng Chất Garnier Giảm Mụn Sáng Da Skin Naturals Bright Complete Anti-Acne Booster Serum,Garnier,Skincare,Ngoài nước,215000,1.0,5,0.0,1,1,-2.142072085401929,0.3683482861251881
270773335,"Serum Compliment Vitamin C 20% sáng da, mờ thâm, ngừa lão hoá",COMPLIMENT,Skincare,Ngoài nước,95000,4.3,13,0.0,1,0,0.028376440771046563,0.902775245582859
241946570,Combo 2 chai Dung dịch chấm mụn bí đao Cocoon /chai dành cho mụn sưng viêm,Cocoon,Skincare,Trong nước,237500,5.0,1,5.0,1,2,-0.577246223617129,-0.6740307882426637
162844510,Serum 72h Dr Cell dưỡng trắng cấp ẩm căng bóng da - Hàng Chính Hãng,Dr Cell,Skincare,Trong nước,650000,4.7,12,20.0,1,2,-0.09532724041101996,-0.5209849322383294
160601039,"Serum giúp ngăn ngừa mụn, giảm nhờn cho da, giảm mờ vết thâm mụn Lá House Acne Control /",Lá House,Skincare,Trong nước,645000,5.0,54,0.0,1,0,-0.2885591263743059,0.7306862685533874
137938212,"Serum phục hồi, tái tạo da tổn thương GoGreen SERUM VITAMIN B5",GoGreen,Skincare,Ngoài nước,980000,5.0,15,0.0,1,2,-0.9030597069785543,-0.08199045006127544
135145819,"Mediphar B5 Serum Hydrating - Phục Hồi Cấp Nước, Dưỡng Sáng Da",Mediphar+,Skincare,Ngoài nước,490000,5.0,23,0.0,1,2,-0.39589082141766013,0.42307763921568
97890747,Tinh Chất Cấp Ẩm Dạng Xịt 6 trong 1 Kirei JP - Hydration Booster 6in1 Spray Serum,Kireijp,Skincare,Ngoài nước,399000,4.2,21,0.0,1,0,-0.6635012669215448,0.5271642107565659
56087547,Serum FEIYA F 40v - Cấp Ẩm - Trắng Da - Ngừa Lão Hóa - Giúp Cân Bằng pH - Thải Độc,FEIYA,Skincare,Ngoài nước,650000,5.0,7,24.0,1,4,0.04180997937518376,-0.8990322258647147
19550931,Dưỡng chất giúp cải thiện và làm sáng da La Roche Posay Pure Vitamin C10 Serum,La Roche-Posay,Skincare,Ngoài nước,771000,4.3,15,3.0,1,2,-0.9635761846926896,-0.005780696669531997
275971382,"Serum Red Peel Compliment AHA 30% + BHA 2% cải thiện làn da, se khít chân lông",COMPLIMENT,Skincare,Ngoài nước,120000,5.0,7,0.0,0,3,1.2387619060762225,-1.0986344460774866
272617816,"Tinh chất Retinol Zakka Naturals dành cho da dầu, mụn - Acnetinol",Zakka Naturals,Skincare,Trong nước,765000,5.0,7,10.0,1,2,-0.5932381808733873,-0.5970100758833178
149452456,"Tinh chất Serum C thế hệ mới Sắc Ngọc Khang giúp dưỡng trắng, mờ thâm nám, ngừa nếp nhăn",Sắc Ngọc Khang,Skincare,Trong nước,840000,4.8,23,0.0,1,2,-0.7803919739887581,0.20723938476038137
130776753,"Serum Chuyên Nám Goodndoc Vitamin C 16.5 Daily Whitening Serum Giúp Trắng Sáng Da, Hỗ Trợ Giảm Thâm Nám, Chống Lão Hóa - GoodnDoc Vitamin C",GoodnDoc,Skincare,Ngoài nước,490000,4.8,36,0.0,1,0,-0.3493864429043471,0.6602958010769754
