product_id,name,name_clean,brand_name,seller_name,product_type,category,primary_category,origin_class,origin_normalized,is_imported,price,original_price,discount_rate,has_discount,price_segment,sold_count,popularity_tier,is_extreme_seller,review_count,review_ratio,review_ratio_flag,rating,rating_tier,estimated_revenue,is_official_store,is_authentic,has_authentic_badge,tiki_verified,availability,availability_label,sold_hidden_flag,has_name_duplicate
279159483,Kem Dưỡng Caryophy Skin Repair Cream 50ml,Kem Dưỡng Caryophy Skin Repair Cream,Caryophy,HAMILY,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Hàn Quốc,True,550000,550000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
279155803,KEM DƯỠNG TRẮNG DA BODY B5 JARY PREMIUM B5 WHITENING BODY LOTION 200ML,KEM DƯỠNG TRẮNG DA BODY B5 JARY PREMIUM B5 WHITENING BODY LOTION,Jary,HAMILY,Body Care,Dưỡng thể,Dưỡng trắng,Ngoài nước,Trung Quốc,False,280000,280000,0.0,False,100k – 300k,1,Mới,False,0,0.0,False,0.0,Chưa có đánh giá,280000,True,1,True,0,1,Còn hàng,False,False
278916977,Kem Body Thảo Dược Hskincare Dưỡng Trắng Da Yến - Tảo 200g,Kem Body Thảo Dược Hskincare Dưỡng Trắng Da Yến - Tảo,Hskincare,Mỹ Phẩm N,Body Care,Dưỡng thể,Dưỡng trắng,Trong nước,Việt Nam,False,299000,299000,0.0,False,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
278809553,Sữa dưỡng thể Le Petit Marseillais (250ml) - Hàng chính hãng,Sữa dưỡng thể Le Petit Marseillais () - Hàng,Le Petit Marseillais,Long Hưng Official Store,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng ẩm,Ngoài nước,Pháp,True,299000,399000,25.0,True,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
278683197,Sữa dưỡng thể trắng da MD CARE Brightening Booster Body Lotion (200ml) - Hàng chính hãng,Sữa dưỡng thể trắng da MD CARE Brightening Booster Body Lotion () - Hàng,Md Care,Long Hưng Official Store,Body Care,Dưỡng thể,Dưỡng trắng,Trong nước,Việt Nam,False,469000,560000,16.0,True,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
278591493,Kem body Yumi Cream ,Kem body Yumi Cream,Tjdin Skin,TjDin Skin Official Store,Body Care,Dưỡng thể,Dưỡng trắng,Trong nước,Việt Nam,False,300000,300000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
278470585,Gel Dưỡng Da Mặt Lacrysta Selectable Gel Lotion Cấp Ẩm Giúp Cải Ngăn Ngừa Khô Ráp - Yuzuha,Gel Dưỡng Da Mặt Lacrysta Selectable Gel Lotion Cấp Ẩm Giúp Cải Ngăn Ngừa Khô Ráp - Yuzuha,Lacrysta,Yuzuha Shop,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Nhật Bản,True,2094000,2094000,0.0,False,Trên 2tr,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
278428794,Kem Body Dưỡng Trắng Da Collagen 200g VK II - 200G,Kem Body Dưỡng Trắng Da Collagen VK II -,Love Skin White,LoveSkin White Cosmetic,Body Care,Dưỡng thể,Sữa dưỡng thể dưỡng trắng,Trong nước,Việt Nam,False,280000,280000,0.0,False,100k – 300k,12,Mới,False,0,0.0,False,0.0,Chưa có đánh giá,3360000,True,1,True,1,1,Còn hàng,False,False
277374735,Gel Dưỡng Ẩm Trắng Sáng Da Clarista Tokyo Botanical All In One Gel (165 mL),Gel Dưỡng Ẩm Trắng Sáng Da Clarista Tokyo Botanical All In One Gel (),Clarista,HOÀ PHÚC,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Nhật Bản,True,155000,258000,40.0,True,100k – 300k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
277314292,"Kem bôi viêm da cơ địa, vảy nến, chàm sữa em bé, chiết xuất rau má MooGoo","Kem bôi viêm da cơ địa, vảy nến, chàm sữa em bé, chiết xuất rau má MooGoo",Moogoo,4Babies - AUS Authentic Store,Body Care,Dưỡng thể,Dưỡng ẩm,Ngoài nước,Úc,False,389000,389000,0.0,False,300k – 700k,0,Chưa có lượt bán,False,0,0.0,False,0.0,Chưa có đánh giá,0,True,1,True,0,1,Còn hàng,False,False
