feature,importance_mean,importance_std
rating,0.6192713190997731,0.0302840750252338
log_price,0.08818026947148556,0.010587548992752282
discount_rate,0.06354611625115134,0.007150021646043273
tiki_verified,0.04415811787617733,0.00881394294411049
has_rating,0.023933591554788868,0.006349219451338462
brand_grouped,0.018209736640680197,0.004469032188806746
origin_class_corrected,0.004828836752483257,0.0011860453324323364
product_type,0.0034420177662217053,0.0015024770914529868
has_authentic_badge,0.000237192766050498,0.0004651532028040129
price_segment,-6.0080899874315194e-05,0.0001963830355644779
is_official_store,-0.00038323336995372826,6.092345535966827e-05
