k,inertia,silhouette,davies_bouldin
2,28023.507831187977,0.3815793878602429,1.241342487990471
3,22483.26442924897,0.36439550743150734,1.1731704698146421
4,18795.272446180665,0.3920093115302021,0.9798609618126092
5,16313.093232810377,0.3920093115302021,0.7900725605748586
6,14104.30575932809,0.3942907803569042,0.931784620884188
7,12300.382463261712,0.3586818029773147,0.9184293762299996
8,11196.353078262597,0.34194885348454673,0.9743408574149359
9,10218.437686718507,0.3329184567970424,0.9881185386313661
10,9429.883310075298,0.365291375081118,0.9527430733620017
