product_id,name_clean,brand_name,product_type,origin_class_corrected,price,rating,sold_count,discount_rate,tiki_verified,cluster,pca_x,pca_y
272402769,"Dung dịch vệ sinh cho cả nữ và nam Femfresh Anh giúp làm sạch sẽ, thơm mát, ngăn ngừa viêm, ngứa, nấm phụ khoa - OZ Slim Store",Femfresh,Body Care,Ngoài nước,390000,5.0,5,0.0,1,2,5.948117579557676,-1.4211410050060744
271319085,Dung Dịch Vệ Sinh Phụ Nữ CC Daily Feminine Wash Cooling And Refreshing Shower Gel (Bergamot & Cranberry),Formosa Biomedical,Body Care,Ngoài nước,290000,0.0,0,0.0,1,1,-0.7590112225968282,-0.6693761380959314
262861274,Combo 3 Chai Dung Dịch Vệ Sinh Nam Serenys – Men’s Intimate Wash,Serenys,Body Care,Trong nước,387000,0.0,0,0.0,1,1,-0.8093995216128755,-0.8233377890532667
262706794,Dung dịch vệ sinh phụ nữ Adeva - Size du lịch - Thảo dược vệ sinh phụ nữ Sạch - Thơm - Hồng - Se khít,ADEVA Noni,Body Care,Trong nước,75000,0.0,2,0.0,1,1,-0.06376742585263628,0.16888147022809305
213869479,Dung dịch vệ sinh phụ nữ tạo bọt stillU Sensitive không mùi cho da nhạy cảm,StillU,Body Care,Trong nước,148800,0.0,0,0.0,1,1,-0.6424849528657888,-0.3133296507561418
208495419,"Dung dịch vệ sinh nam Men Stay Simplicity giảm ngứa, làm sạch & ngăn mùi hiệu quả Intimate Wash",Men Stay Simplicity,Body Care,Trong nước,99000,5.0,9,0.0,1,2,1.9759186418222106,0.22865640737513523
196197231,Dung Dịch Vệ Sinh Khử Mùi Emmié anti-odor soothing intimate care wash,Emmié By Happy Skin,Body Care,Trong nước,139000,5.0,14,0.0,0,2,1.386901028274516,1.1433258026265505
145650589,DUNG DỊCH VỆ SINH PHỤ NỮ MACHIWA,MATISUKA,Body Care,Trong nước,80000,0.0,2,0.0,1,1,-0.07503765376870225,0.13444524335585104
143990472,Dung dịch vệ sinh phụ nữ cao cấp Femfresh Daily Intimate Wash,Femfresh,Body Care,Ngoài nước,198000,0.0,1,0.0,1,1,-0.40272490875323136,-0.39215703913885364
129389514,"Dung dịch vệ sinh phụ nữ Chilly Gel - Se se lạnh, bùng tươi mát - số 1 tại Italy - (/chai)",Chilly,Body Care,Ngoài nước,200000,5.0,18,0.0,1,2,2.1213313967641683,-0.07840430933838798
